Temperature,Resistance
-40,84.27
-39,84.67
-38,85.06
-37,85.46
-36,85.85
-35,86.25
-34,86.64
-33,87.04
-32,87.43
-31,87.83
-30,88.22
-29,88.62
-28,89.01
-27,89.4
-26,89.8
-25,90.19
-24,90.59
-23,90.98
-22,91.37
-21,91.77
-20,92.16
-19,92.55
-18,92.95
-17,93.34
-16,93.73
-15,94.12
-14,94.52
-13,94.91
-12,95.3
-11,95.69
-10,96.09
-9,96.48
-8,96.87
-7,97.26
-6,97.65
-5,98.04
-4,98.44
-3,98.83
-2,99.22
-1,99.61
0,100
1,100.39
2,100.78
3,101.17
4,101.56
5,101.95
6,102.34
7,102.73
8,103.12
9,103.51
10,103.9
11,104.29
12,104.68
13,105.07
14,105.46
15,105.85
16,106.24
17,106.63
18,107.02
19,107.4
20,107.79
21,108.18
22,108.57
23,108.96
24,109.35
25,109.73
26,110.12
27,110.51
28,110.9
29,111.28
30,111.67
31,112.06
32,112.45
33,112.83
34,113.22
35,113.61
36,113.99
37,114.38
38,114.77
39,115.15
40,115.54
41,115.93
42,116.31
43,116.7
44,117.08
45,117.47
46,117.85
47,118.24
48,118.62
49,119.01
50,119.4
51,119.78
52,120.16
53,120.55
54,120.93
55,121.32
56,121.7
57,122.09
58,122.47
59,122.86
60,123.24
61,123.62
62,124.01
63,124.39
64,124.77
65,125.16
66,125.54
67,125.92
68,126.31
69,126.69
70,127.07
71,127.45
72,127.84
73,128.22
74,128.6
75,128.98
76,129.37
77,129.75
78,130.13
79,130.51
80,130.89
81,131.27
82,131.66
83,132.04
84,132.42
85,132.8
86,133.18
87,133.56
88,133.94
89,134.32
90,134.7
91,135.08
92,135.46
93,135.84
94,136.22
95,136.6
96,136.98
97,137.36
98,137.74
99,138.12
100,138.5
101,138.88
102,139.26
103,139.64
104,140.02
105,140.39
106,140.77
107,141.15
108,141.53
109,141.91
110,142.29
111,142.66
112,143.04
113,143.42
114,143.8
115,144.17
116,144.55
117,144.93
118,145.31
119,145.68
120,146.06
121,146.44
122,146.81
123,147.19
124,147.57
125,147.94
126,148.32
127,148.7
128,149.07
129,149.45
130,149.82
131,150.2
132,150.57
133,150.95
134,151.33
135,151.7
136,152.08
137,152.45
138,152.83
139,153.2
140,153.58
141,153.95
142,154.32
143,154.7
144,155.07
145,155.45
146,155.82
147,156.19
148,156.57
149,156.94
150,157.31
151,157.69
152,158.06
153,158.43
154,158.81
155,159.18
156,159.55
157,159.93
158,160.3
159,160.67
160,161.04
